response_id,survey_id,student_id,question_code,question_text,response_value,response_type,responded_at
RSP-000237,SRV-001,STU-00056,Q2,My tutor explains things clearly.,2,likert_5,2025-11-15T08:16:00Z
RSP-000238,SRV-001,STU-00056,NPS_SCORE,How likely are you to recommend this program?,10,nps,2025-11-15T08:04:00Z
RSP-000239,SRV-001,STU-00124,Q1,I enjoy my tutoring sessions.,4,likert_5,2025-11-15T09:08:00Z
RSP-000240,SRV-001,STU-00124,Q2,My tutor explains things clearly.,1,likert_5,2025-11-15T10:19:00Z
RSP-000241,SRV-001,STU-00124,NPS_SCORE,How likely are you to recommend this program?,3,nps,2025-11-15T20:45:00Z
RSP-000242,SRV-001,STU-00049,Q1,I enjoy my tutoring sessions.,5,likert_5,2025-11-15T14:29:00Z
RSP-000243,SRV-001,STU-00049,Q2,My tutor explains things clearly.,4,likert_5,2025-11-15T14:02:00Z
RSP-000244,SRV-001,STU-00049,Q3,I feel more confident in this subject.,5,likert_5,2025-11-15T15:13:00Z
RSP-000245,SRV-001,STU-00080,Q1,I enjoy my tutoring sessions.,4,likert_5,2025-11-15T11:05:00Z
RSP-000246,SRV-001,STU-00080,Q2,My tutor explains things clearly.,2,likert_5,2025-11-15T10:28:00Z
RSP-000247,SRV-001,STU-00080,Q3,I feel more confident in this subject.,1,likert_5,2025-11-15T15:21:00Z
RSP-000248,SRV-001,STU-00080,NPS_SCORE,How likely are you to recommend this program?,8,nps,2025-11-15T16:39:00Z
RSP-000249,SRV-002,STU-00122,TE3,Overall program quality rating.,3,likert_5,2025-11-20T12:12:00Z
RSP-000250,SRV-002,STU-00108,TE2,I receive adequate support from program staff.,3,likert_4,2025-11-20T10:14:00Z
RSP-000251,SRV-002,STU-00061,TE1,I feel prepared for each session.,3,likert_5,2025-11-20T15:51:00Z
RSP-000252,SRV-002,STU-00061,TE2,I receive adequate support from program staff.,3,likert_4,2025-11-20T17:40:00Z
RSP-000253,SRV-002,STU-00061,TE3,Overall program quality rating.,3,likert_5,2025-11-20T15:00:00Z
RSP-000254,SRV-002,STU-00054,TE1,I feel prepared for each session.,1,likert_5,2025-11-20T10:26:00Z
RSP-000255,SRV-002,STU-00054,TE2,I receive adequate support from program staff.,4,likert_4,2025-11-20T14:19:00Z
RSP-000256,SRV-002,STU-00054,TE3,Overall program quality rating.,4,likert_5,2025-11-20T15:25:00Z
RSP-000257,SRV-002,STU-00080,TE1,I feel prepared for each session.,4,likert_5,2025-11-20T17:28:00Z
RSP-000258,SRV-002,STU-00080,TE2,I receive adequate support from program staff.,1,likert_4,2025-11-20T14:52:00Z
RSP-000259,SRV-002,STU-00080,TE3,Overall program quality rating.,3,likert_5,2025-11-20T14:44:00Z
RSP-000260,SRV-002,STU-00052,TE1,I feel prepared for each session.,3,likert_5,2025-11-20T13:02:00Z
RSP-000261,SRV-002,STU-00052,TE3,Overall program quality rating.,3,likert_5,2025-11-20T19:14:00Z
RSP-000262,SRV-003,STU-00121,PF1,My child looks forward to tutoring.,5,likert_5,2025-11-10T17:54:00Z
RSP-000263,SRV-003,STU-00121,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T11:10:00Z
RSP-000264,SRV-003,STU-00051,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T10:03:00Z
RSP-000265,SRV-003,STU-00051,PF3,Overall satisfaction with the program.,1,likert_5,2025-11-10T15:48:00Z
RSP-000266,SRV-003,STU-00010,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T11:18:00Z
RSP-000267,SRV-003,STU-00010,PF3,Overall satisfaction with the program.,4,likert_5,2025-11-10T13:21:00Z
RSP-000268,SRV-003,STU-00099,PF1,My child looks forward to tutoring.,5,likert_5,2025-11-10T10:54:00Z
RSP-000269,SRV-003,STU-00099,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T11:00:00Z
RSP-000270,SRV-003,STU-00070,PF1,My child looks forward to tutoring.,4,likert_5,2025-11-10T12:24:00Z
RSP-000271,SRV-003,STU-00070,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T19:39:00Z
RSP-000272,SRV-003,STU-00070,PF3,Overall satisfaction with the program.,1,likert_5,2025-11-10T08:09:00Z
RSP-000273,SRV-003,STU-00110,PF1,My child looks forward to tutoring.,3,likert_5,2025-11-10T09:08:00Z
RSP-000274,SRV-003,STU-00110,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T19:55:00Z
RSP-000275,SRV-003,STU-00110,PF3,Overall satisfaction with the program.,4,likert_5,2025-11-10T13:33:00Z
RSP-000276,SRV-003,STU-00048,PF1,My child looks forward to tutoring.,4,likert_5,2025-11-10T11:21:00Z
RSP-000277,SRV-003,STU-00048,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T08:35:00Z
RSP-000278,SRV-003,STU-00048,PF3,Overall satisfaction with the program.,1,likert_5,2025-11-10T17:39:00Z
RSP-000279,SRV-003,STU-00119,PF1,My child looks forward to tutoring.,1,likert_5,2025-11-10T12:45:00Z
RSP-000280,SRV-003,STU-00119,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T11:16:00Z
RSP-000281,SRV-003,STU-00119,PF3,Overall satisfaction with the program.,4,likert_5,2025-11-10T14:14:00Z
RSP-000282,SRV-003,STU-00057,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T08:56:00Z
RSP-000283,SRV-003,STU-00057,PF3,Overall satisfaction with the program.,2,likert_5,2025-11-10T11:53:00Z
RSP-000284,SRV-003,STU-00011,PF1,My child looks forward to tutoring.,2,likert_5,2025-11-10T08:54:00Z
RSP-000285,SRV-003,STU-00011,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T15:18:00Z
RSP-000286,SRV-003,STU-00011,PF3,Overall satisfaction with the program.,4,likert_5,2025-11-10T11:41:00Z
RSP-000287,SRV-003,STU-00015,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T19:37:00Z
RSP-000288,SRV-003,STU-00015,PF3,Overall satisfaction with the program.,4,likert_5,2025-11-10T20:52:00Z
RSP-000289,SRV-003,STU-00113,PF1,My child looks forward to tutoring.,1,likert_5,2025-11-10T08:35:00Z
RSP-000290,SRV-003,STU-00113,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T19:45:00Z
RSP-000291,SRV-003,STU-00113,PF3,Overall satisfaction with the program.,5,likert_5,2025-11-10T12:24:00Z
RSP-000292,SRV-003,STU-00082,PF1,My child looks forward to tutoring.,1,likert_5,2025-11-10T10:56:00Z
RSP-000293,SRV-003,STU-00082,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T18:42:00Z
RSP-000294,SRV-003,STU-00082,PF3,Overall satisfaction with the program.,4,likert_5,2025-11-10T12:04:00Z
RSP-000295,SRV-003,STU-00073,PF1,My child looks forward to tutoring.,2,likert_5,2025-11-10T08:19:00Z
RSP-000296,SRV-003,STU-00073,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T08:09:00Z
RSP-000297,SRV-003,STU-00073,PF3,Overall satisfaction with the program.,3,likert_5,2025-11-10T08:10:00Z
RSP-000298,SRV-003,STU-00084,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T14:25:00Z
RSP-000299,SRV-003,STU-00084,PF3,Overall satisfaction with the program.,4,likert_5,2025-11-10T20:21:00Z
RSP-000300,SRV-003,STU-00046,PF1,My child looks forward to tutoring.,2,likert_5,2025-11-10T11:12:00Z
RSP-000301,SRV-003,STU-00046,PF3,Overall satisfaction with the program.,5,likert_5,2025-11-10T20:14:00Z
RSP-000302,SRV-003,STU-00018,PF3,Overall satisfaction with the program.,5,likert_5,2025-11-10T09:13:00Z
RSP-000303,SRV-003,STU-00122,PF1,My child looks forward to tutoring.,1,likert_5,2025-11-10T11:01:00Z
RSP-000304,SRV-003,STU-00122,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T14:29:00Z
RSP-000305,SRV-003,STU-00122,PF3,Overall satisfaction with the program.,1,likert_5,2025-11-10T18:57:00Z
RSP-000306,SRV-003,STU-00090,PF1,My child looks forward to tutoring.,4,likert_5,2025-11-10T13:59:00Z
RSP-000307,SRV-003,STU-00090,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T14:09:00Z
RSP-000308,SRV-003,STU-00090,PF3,Overall satisfaction with the program.,5,likert_5,2025-11-10T17:22:00Z
RSP-000309,SRV-003,STU-00049,PF1,My child looks forward to tutoring.,3,likert_5,2025-11-10T11:57:00Z
RSP-000310,SRV-003,STU-00049,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T12:41:00Z
RSP-000311,SRV-003,STU-00049,PF3,Overall satisfaction with the program.,1,likert_5,2025-11-10T09:57:00Z
RSP-000312,SRV-003,STU-00029,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T15:10:00Z
RSP-000313,SRV-003,STU-00029,PF3,Overall satisfaction with the program.,2,likert_5,2025-11-10T12:45:00Z
RSP-000314,SRV-003,STU-00042,PF1,My child looks forward to tutoring.,2,likert_5,2025-11-10T08:08:00Z
RSP-000315,SRV-003,STU-00042,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T09:51:00Z
RSP-000316,SRV-003,STU-00042,PF3,Overall satisfaction with the program.,1,likert_5,2025-11-10T09:29:00Z
RSP-000317,SRV-003,STU-00027,PF1,My child looks forward to tutoring.,2,likert_5,2025-11-10T18:51:00Z
RSP-000318,SRV-003,STU-00007,PF1,My child looks forward to tutoring.,4,likert_5,2025-11-10T19:26:00Z
RSP-000319,SRV-003,STU-00007,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T18:56:00Z
RSP-000320,SRV-003,STU-00007,PF3,Overall satisfaction with the program.,1,likert_5,2025-11-10T15:41:00Z
RSP-000321,SRV-003,STU-00089,PF1,My child looks forward to tutoring.,4,likert_5,2025-11-10T13:52:00Z
RSP-000322,SRV-003,STU-00089,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T17:50:00Z
RSP-000323,SRV-003,STU-00089,PF3,Overall satisfaction with the program.,2,likert_5,2025-11-10T12:03:00Z
RSP-000324,SRV-003,STU-00129,PF1,My child looks forward to tutoring.,5,likert_5,2025-11-10T11:34:00Z
RSP-000325,SRV-003,STU-00129,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T10:50:00Z
RSP-000326,SRV-003,STU-00129,PF3,Overall satisfaction with the program.,2,likert_5,2025-11-10T13:32:00Z
RSP-000327,SRV-003,STU-00076,PF1,My child looks forward to tutoring.,1,likert_5,2025-11-10T10:09:00Z
RSP-000328,SRV-003,STU-00076,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T20:37:00Z
RSP-000329,SRV-003,STU-00076,PF3,Overall satisfaction with the program.,3,likert_5,2025-11-10T14:25:00Z
RSP-000330,SRV-003,STU-00060,PF1,My child looks forward to tutoring.,3,likert_5,2025-11-10T19:16:00Z
RSP-000331,SRV-003,STU-00060,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T11:31:00Z
RSP-000332,SRV-003,STU-00060,PF3,Overall satisfaction with the program.,2,likert_5,2025-11-10T15:36:00Z
RSP-000333,SRV-003,STU-00093,PF1,My child looks forward to tutoring.,1,likert_5,2025-11-10T20:11:00Z
RSP-000334,SRV-003,STU-00002,PF1,My child looks forward to tutoring.,1,likert_5,2025-11-10T16:29:00Z
RSP-000335,SRV-003,STU-00002,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T11:44:00Z
RSP-000336,SRV-003,STU-00002,PF3,Overall satisfaction with the program.,5,likert_5,2025-11-10T14:51:00Z
RSP-000337,SRV-003,STU-00023,PF1,My child looks forward to tutoring.,5,likert_5,2025-11-10T08:42:00Z
RSP-000338,SRV-003,STU-00023,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T15:54:00Z
RSP-000339,SRV-003,STU-00130,PF1,My child looks forward to tutoring.,3,likert_5,2025-11-10T19:02:00Z
RSP-000340,SRV-003,STU-00130,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T17:09:00Z
RSP-000341,SRV-003,STU-00130,PF3,Overall satisfaction with the program.,5,likert_5,2025-11-10T17:39:00Z
RSP-000342,SRV-003,STU-00045,PF1,My child looks forward to tutoring.,3,likert_5,2025-11-10T10:38:00Z
RSP-000343,SRV-003,STU-00045,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T15:06:00Z
RSP-000344,SRV-003,STU-00125,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T19:16:00Z
RSP-000345,SRV-003,STU-00125,PF3,Overall satisfaction with the program.,5,likert_5,2025-11-10T15:11:00Z
RSP-000346,SRV-003,STU-00021,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T10:09:00Z
RSP-000347,SRV-003,STU-00068,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T17:56:00Z
RSP-000348,SRV-003,STU-00068,PF3,Overall satisfaction with the program.,2,likert_5,2025-11-10T11:47:00Z
RSP-000349,SRV-003,STU-00101,PF1,My child looks forward to tutoring.,5,likert_5,2025-11-10T11:12:00Z
RSP-000350,SRV-003,STU-00101,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T12:28:00Z
RSP-000351,SRV-003,STU-00101,PF3,Overall satisfaction with the program.,1,likert_5,2025-11-10T12:32:00Z
RSP-000352,SRV-003,STU-00108,PF1,My child looks forward to tutoring.,4,likert_5,2025-11-10T16:38:00Z
RSP-000353,SRV-003,STU-00108,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T08:17:00Z
RSP-000354,SRV-003,STU-00108,PF3,Overall satisfaction with the program.,2,likert_5,2025-11-10T08:55:00Z
RSP-000355,SRV-003,STU-00053,PF1,My child looks forward to tutoring.,4,likert_5,2025-11-10T20:32:00Z
RSP-000356,SRV-003,STU-00053,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T17:49:00Z
RSP-000357,SRV-003,STU-00053,PF3,Overall satisfaction with the program.,2,likert_5,2025-11-10T20:43:00Z
RSP-000358,SRV-003,STU-00087,PF1,My child looks forward to tutoring.,3,likert_5,2025-11-10T17:44:00Z
RSP-000359,SRV-003,STU-00087,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T14:40:00Z
RSP-000360,SRV-003,STU-00087,PF3,Overall satisfaction with the program.,2,likert_5,2025-11-10T17:47:00Z
RSP-000361,SRV-003,STU-00124,PF1,My child looks forward to tutoring.,2,likert_5,2025-11-10T12:11:00Z
RSP-000362,SRV-003,STU-00124,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T15:20:00Z
RSP-000363,SRV-003,STU-00124,PF3,Overall satisfaction with the program.,2,likert_5,2025-11-10T13:36:00Z
RSP-000364,SRV-003,STU-00055,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T13:34:00Z
RSP-000365,SRV-003,STU-00039,PF1,My child looks forward to tutoring.,2,likert_5,2025-11-10T08:41:00Z
RSP-000366,SRV-003,STU-00039,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T10:37:00Z
RSP-000367,SRV-003,STU-00039,PF3,Overall satisfaction with the program.,1,likert_5,2025-11-10T13:59:00Z
RSP-000368,SRV-003,STU-00031,PF1,My child looks forward to tutoring.,4,likert_5,2025-11-10T11:02:00Z
RSP-000369,SRV-003,STU-00031,PF3,Overall satisfaction with the program.,5,likert_5,2025-11-10T14:14:00Z
RSP-000370,SRV-003,STU-00126,PF1,My child looks forward to tutoring.,4,likert_5,2025-11-10T18:46:00Z
RSP-000371,SRV-003,STU-00126,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T10:52:00Z
RSP-000372,SRV-003,STU-00126,PF3,Overall satisfaction with the program.,3,likert_5,2025-11-10T18:48:00Z
RSP-000373,SRV-003,STU-00041,PF1,My child looks forward to tutoring.,1,likert_5,2025-11-10T14:24:00Z
RSP-000374,SRV-003,STU-00041,PF3,Overall satisfaction with the program.,5,likert_5,2025-11-10T16:01:00Z
RSP-000375,SRV-003,STU-00079,PF1,My child looks forward to tutoring.,5,likert_5,2025-11-10T13:06:00Z
RSP-000376,SRV-003,STU-00079,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T11:41:00Z
RSP-000377,SRV-003,STU-00079,PF3,Overall satisfaction with the program.,1,likert_5,2025-11-10T08:17:00Z
RSP-000378,SRV-003,STU-00038,PF1,My child looks forward to tutoring.,2,likert_5,2025-11-10T19:54:00Z
RSP-000379,SRV-003,STU-00038,PF3,Overall satisfaction with the program.,1,likert_5,2025-11-10T10:54:00Z
RSP-000380,SRV-003,STU-00100,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T20:04:00Z
RSP-000381,SRV-003,STU-00100,PF3,Overall satisfaction with the program.,3,likert_5,2025-11-10T16:42:00Z
RSP-000382,SRV-003,STU-00080,PF1,My child looks forward to tutoring.,1,likert_5,2025-11-10T19:23:00Z
RSP-000383,SRV-003,STU-00080,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T16:26:00Z
RSP-000384,SRV-003,STU-00080,PF3,Overall satisfaction with the program.,4,likert_5,2025-11-10T12:57:00Z
RSP-000385,SRV-003,STU-00072,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T16:20:00Z
RSP-000386,SRV-003,STU-00072,PF3,Overall satisfaction with the program.,5,likert_5,2025-11-10T08:24:00Z
RSP-000387,SRV-003,STU-00118,PF1,My child looks forward to tutoring.,3,likert_5,2025-11-10T20:08:00Z
RSP-000388,SRV-003,STU-00118,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T08:50:00Z
RSP-000389,SRV-003,STU-00118,PF3,Overall satisfaction with the program.,5,likert_5,2025-11-10T16:58:00Z
RSP-000390,SRV-003,STU-00043,PF1,My child looks forward to tutoring.,4,likert_5,2025-11-10T18:33:00Z
RSP-000391,SRV-003,STU-00043,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T16:20:00Z
RSP-000392,SRV-003,STU-00043,PF3,Overall satisfaction with the program.,4,likert_5,2025-11-10T18:25:00Z
RSP-000393,SRV-003,STU-00111,PF1,My child looks forward to tutoring.,4,likert_5,2025-11-10T19:19:00Z
RSP-000394,SRV-003,STU-00111,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T17:27:00Z
RSP-000395,SRV-003,STU-00111,PF3,Overall satisfaction with the program.,2,likert_5,2025-11-10T12:42:00Z
RSP-000396,SRV-003,STU-00134,PF1,My child looks forward to tutoring.,5,likert_5,2025-11-10T10:45:00Z
RSP-000397,SRV-003,STU-00134,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T10:04:00Z
RSP-000398,SRV-003,STU-00134,PF3,Overall satisfaction with the program.,1,likert_5,2025-11-10T12:44:00Z
RSP-000399,SRV-003,STU-00103,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T16:13:00Z
RSP-000400,SRV-003,STU-00103,PF3,Overall satisfaction with the program.,1,likert_5,2025-11-10T12:46:00Z
RSP-000401,SRV-003,STU-00037,PF1,My child looks forward to tutoring.,5,likert_5,2025-11-10T17:49:00Z
RSP-000402,SRV-003,STU-00037,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T09:30:00Z
RSP-000403,SRV-003,STU-00037,PF3,Overall satisfaction with the program.,4,likert_5,2025-11-10T10:52:00Z
RSP-000404,SRV-003,STU-00097,PF1,My child looks forward to tutoring.,5,likert_5,2025-11-10T17:38:00Z
RSP-000405,SRV-003,STU-00097,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T17:44:00Z
RSP-000406,SRV-003,STU-00097,PF3,Overall satisfaction with the program.,2,likert_5,2025-11-10T16:44:00Z
RSP-000407,SRV-003,STU-00056,PF1,My child looks forward to tutoring.,5,likert_5,2025-11-10T08:03:00Z
RSP-000408,SRV-003,STU-00056,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T14:26:00Z
RSP-000409,SRV-003,STU-00032,PF1,My child looks forward to tutoring.,2,likert_5,2025-11-10T19:00:00Z
RSP-000410,SRV-003,STU-00032,PF3,Overall satisfaction with the program.,2,likert_5,2025-11-10T19:10:00Z
RSP-000411,SRV-003,STU-00107,PF1,My child looks forward to tutoring.,2,likert_5,2025-11-10T16:25:00Z
RSP-000412,SRV-003,STU-00107,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T08:20:00Z
RSP-000413,SRV-003,STU-00107,PF3,Overall satisfaction with the program.,3,likert_5,2025-11-10T20:11:00Z
RSP-000414,SRV-003,STU-00083,PF1,My child looks forward to tutoring.,5,likert_5,2025-11-10T11:35:00Z
RSP-000415,SRV-003,STU-00083,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T16:44:00Z
RSP-000416,SRV-003,STU-00034,PF1,My child looks forward to tutoring.,5,likert_5,2025-11-10T10:42:00Z
RSP-000417,SRV-003,STU-00034,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T08:28:00Z
RSP-000418,SRV-003,STU-00034,PF3,Overall satisfaction with the program.,4,likert_5,2025-11-10T10:52:00Z
RSP-000419,SRV-003,STU-00088,PF1,My child looks forward to tutoring.,4,likert_5,2025-11-10T11:54:00Z
RSP-000420,SRV-003,STU-00088,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T16:39:00Z
RSP-000421,SRV-003,STU-00088,PF3,Overall satisfaction with the program.,2,likert_5,2025-11-10T11:52:00Z
RSP-000422,SRV-003,STU-00115,PF1,My child looks forward to tutoring.,1,likert_5,2025-11-10T16:21:00Z
RSP-000423,SRV-003,STU-00115,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T10:25:00Z
RSP-000424,SRV-003,STU-00115,PF3,Overall satisfaction with the program.,2,likert_5,2025-11-10T14:35:00Z
RSP-000425,SRV-003,STU-00040,PF1,My child looks forward to tutoring.,1,likert_5,2025-11-10T08:04:00Z
RSP-000426,SRV-003,STU-00040,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T11:57:00Z
RSP-000427,SRV-003,STU-00040,PF3,Overall satisfaction with the program.,5,likert_5,2025-11-10T10:06:00Z
RSP-000428,SRV-003,STU-00033,PF1,My child looks forward to tutoring.,5,likert_5,2025-11-10T19:14:00Z
RSP-000429,SRV-003,STU-00033,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T15:47:00Z
RSP-000430,SRV-003,STU-00033,PF3,Overall satisfaction with the program.,1,likert_5,2025-11-10T16:30:00Z
RSP-000431,SRV-003,STU-00133,PF1,My child looks forward to tutoring.,1,likert_5,2025-11-10T14:57:00Z
RSP-000432,SRV-003,STU-00133,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T09:41:00Z
RSP-000433,SRV-003,STU-00131,PF1,My child looks forward to tutoring.,3,likert_5,2025-11-10T17:10:00Z
RSP-000434,SRV-003,STU-00131,PF3,Overall satisfaction with the program.,5,likert_5,2025-11-10T16:06:00Z
RSP-000435,SRV-003,STU-00016,PF1,My child looks forward to tutoring.,3,likert_5,2025-11-10T11:49:00Z
RSP-000436,SRV-003,STU-00081,PF1,My child looks forward to tutoring.,4,likert_5,2025-11-10T09:29:00Z
RSP-000437,SRV-003,STU-00081,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T13:37:00Z
RSP-000438,SRV-003,STU-00081,PF3,Overall satisfaction with the program.,5,likert_5,2025-11-10T18:15:00Z
RSP-000439,SRV-003,STU-00109,PF1,My child looks forward to tutoring.,3,likert_5,2025-11-10T13:42:00Z
RSP-000440,SRV-003,STU-00109,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T19:52:00Z
RSP-000441,SRV-003,STU-00109,PF3,Overall satisfaction with the program.,4,likert_5,2025-11-10T14:23:00Z
RSP-000442,SRV-003,STU-00116,PF1,My child looks forward to tutoring.,4,likert_5,2025-11-10T16:24:00Z
RSP-000443,SRV-003,STU-00116,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T17:53:00Z
RSP-000444,SRV-003,STU-00075,PF1,My child looks forward to tutoring.,2,likert_5,2025-11-10T12:39:00Z
RSP-000445,SRV-003,STU-00075,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T13:20:00Z
RSP-000446,SRV-003,STU-00075,PF3,Overall satisfaction with the program.,3,likert_5,2025-11-10T18:27:00Z
RSP-000447,SRV-003,STU-00066,PF1,My child looks forward to tutoring.,1,likert_5,2025-11-10T20:28:00Z
RSP-000448,SRV-003,STU-00066,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T17:55:00Z
RSP-000449,SRV-003,STU-00066,PF3,Overall satisfaction with the program.,4,likert_5,2025-11-10T12:40:00Z
RSP-000450,SRV-003,STU-00054,PF1,My child looks forward to tutoring.,5,likert_5,2025-11-10T14:27:00Z
RSP-000451,SRV-003,STU-00054,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T09:48:00Z
RSP-000452,SRV-003,STU-00054,PF3,Overall satisfaction with the program.,5,likert_5,2025-11-10T14:31:00Z
RSP-000453,SRV-003,STU-00120,PF3,Overall satisfaction with the program.,4,likert_5,2025-11-10T12:43:00Z
RSP-000454,SRV-003,STU-00094,PF1,My child looks forward to tutoring.,3,likert_5,2025-11-10T16:22:00Z
RSP-000455,SRV-003,STU-00094,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T14:17:00Z
RSP-000456,SRV-003,STU-00017,PF1,My child looks forward to tutoring.,5,likert_5,2025-11-10T20:32:00Z
RSP-000457,SRV-003,STU-00017,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T14:29:00Z
RSP-000458,SRV-003,STU-00017,PF3,Overall satisfaction with the program.,4,likert_5,2025-11-10T16:40:00Z
RSP-000459,SRV-003,STU-00128,PF1,My child looks forward to tutoring.,4,likert_5,2025-11-10T19:37:00Z
RSP-000460,SRV-003,STU-00128,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T14:18:00Z
RSP-000461,SRV-003,STU-00128,PF3,Overall satisfaction with the program.,5,likert_5,2025-11-10T08:16:00Z
RSP-000462,SRV-003,STU-00085,PF1,My child looks forward to tutoring.,1,likert_5,2025-11-10T20:38:00Z
RSP-000463,SRV-003,STU-00085,PF3,Overall satisfaction with the program.,4,likert_5,2025-11-10T08:20:00Z
RSP-000464,SRV-003,STU-00071,PF1,My child looks forward to tutoring.,1,likert_5,2025-11-10T08:10:00Z
RSP-000465,SRV-003,STU-00071,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T08:25:00Z
RSP-000466,SRV-003,STU-00071,PF3,Overall satisfaction with the program.,5,likert_5,2025-11-10T17:57:00Z
RSP-000467,SRV-003,STU-00019,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T12:34:00Z
RSP-000468,SRV-003,STU-00019,PF3,Overall satisfaction with the program.,3,likert_5,2025-11-10T16:06:00Z
RSP-000469,SRV-003,STU-00102,PF1,My child looks forward to tutoring.,1,likert_5,2025-11-10T16:56:00Z
RSP-000470,SRV-003,STU-00102,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T18:51:00Z
RSP-000471,SRV-003,STU-00123,PF1,My child looks forward to tutoring.,5,likert_5,2025-11-10T16:15:00Z
RSP-000472,SRV-003,STU-00123,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T12:53:00Z
RSP-000473,SRV-003,STU-00123,PF3,Overall satisfaction with the program.,1,likert_5,2025-11-10T16:22:00Z
RSP-000474,SRV-003,STU-00077,PF1,My child looks forward to tutoring.,2,likert_5,2025-11-10T08:09:00Z
RSP-000475,SRV-003,STU-00077,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T20:23:00Z
RSP-000476,SRV-003,STU-00077,PF3,Overall satisfaction with the program.,1,likert_5,2025-11-10T08:13:00Z
